,user_id,rule_score,ml_score,network_flag,composite_score,flags
1,USR_001,85,52.0,0,105.8,MIDNIGHT_ACTIVITY | HIGH_CBRN | UNKNOWN_COUNTRY | MULTIPLE_IPS | 
2,USR_009,65,100.0,0,105.0,HIGH_CBRN | UNKNOWN_COUNTRY | MULTIPLE_IPS | 
3,USR_010,80,54.7,0,101.9,HIGH_CBRN | UNKNOWN_COUNTRY | RESPONSE_ANOMALY | MULTIPLE_IPS | 
4,USR_007,65,84.9,0,99.0,HIGH_CBRN | UNKNOWN_COUNTRY | MULTIPLE_IPS | 
5,USR_005,65,63.4,0,90.4,HIGH_CBRN | UNKNOWN_COUNTRY | MULTIPLE_IPS | 
6,USR_008,65,51.3,0,85.5,HIGH_CBRN | UNKNOWN_COUNTRY | MULTIPLE_IPS | 
7,USR_003,65,41.3,0,81.5,HIGH_CBRN | UNKNOWN_COUNTRY | MULTIPLE_IPS | 
8,USR_004,65,30.6,0,77.2,HIGH_CBRN | UNKNOWN_COUNTRY | MULTIPLE_IPS | 
9,USR_002,65,24.5,0,74.8,HIGH_CBRN | UNKNOWN_COUNTRY | MULTIPLE_IPS | 
10,USR_006,65,0.0,0,65.0,HIGH_CBRN | UNKNOWN_COUNTRY | MULTIPLE_IPS | 
